"","Site...1","Barren.Land..Rock.Sand.Clay.","Cultivated.Crops","Deciduous.Forest","Developed.High.Intensity","Developed..Low.Intensity","Developed..Medium.Intensity","Developed..Open.Space","Dwarf.Scrub","Emergent.Herbaceous.Wetlands","Evergreen.Forest","Grassland.Herbaceous","Mixed.Forest","Open.Water","Pasture.Hay","Perennial.Ice.Snow","Sedge.Herbaceous","Shrub.Scrub","Woody.Wetlands","all_developed","site","X","site...2","mean_precip","mean_temp"
"1","D02_SERC_R1_P1_v1",0.046293270592336,8.15197263795395,35.3359257564865,0.368167657887284,5.18920332004444,1.35394200814762,9.32782171099928,0,0.831644990523495,0.266867089296996,0.203690390606278,5.33952029279132,16.0882730976189,7.63675576759689,0,0,1.06474522362373,8.79517678583099,16.2391346970786,"D02_SERC",6,"D02_SERC",907.396240234375,13.0032167434692
"2","D03_DSNY_R1_P1_v1",0.0455518607935134,0.00354292250616215,0.115398047343567,0.240918730419027,4.45699651275199,1.60190710457189,7.8070828082216,0,3.57936399479697,2.25026192319956,0.378586576372756,1.17574414025924,4.36083147329902,10.6135835648886,0,0,3.90581899715048,59.4644113434256,14.1069051559645,"D03_DSNY",7,"D03_DSNY",1035.13221740723,22.4188919067383
"3","D09_NOGP_R2_P1_v1",0.0228154232261008,24.2713852341961,1.3389273371021,0.723755925672421,4.20184044414024,2.65630677449067,5.83314320480645,0,0.487151536661005,0,53.8131332336215,0.000422507837520386,1.16316407669362,2.31999053582444,0,0,0.12083724153083,3.04712652419702,13.4150463491098,"D09_NOGP",27,"D09_NOGP",342.962341308594,5.28412103652954
"4","D02_SCBI_C1_P1_v1",0.00108925342570202,0.00272313356425506,70.0542448206,0.387229592837069,3.84234145916389,1.00374703178442,7.96843343572316,0,0,0.545171339563863,0.600178637561815,6.79312898939067,0.0974881816003311,8.53974685750387,0,0,0.124174890530031,0.0403023767509749,13.2017515195085,"D02_SCBI",5,"D02_SCBI",807.376480102539,12.3922662734985
"5","D07_ORNL_C1_P1_v8",0.222054556718991,0.00766762972095962,56.4858946283653,1.3743459511848,4.16321623329223,2.49842046827748,4.91127018886906,0,0.0481527146476264,3.05601050158567,1.41789808799985,6.14759880507658,8.08229513626912,9.01774596222619,0,0,0.590100783325052,1.97732835244107,12.9472528416236,"D07_ORNL",23,"D07_ORNL",1173.80981445312,13.1449699401855
"6","D06_UKFS_R1_P1_v2",0.0539896398258713,20.4289987596975,23.6766458328267,0.688732702643547,4.66694228945256,2.16347673824753,5.38583136749435,0,0.215958559303485,0.0700406138281573,1.03893577178433,1.23884335708553,1.42124078892969,38.1818623993774,0,0,0.0710134001313261,0.697487779372067,12.904983097838,"D06_UKFS",20,"D06_UKFS",833.065032958984,13.13134765625
"7","D03_OSBS_C1_P1_v1",0.762488938455384,0.026668929484926,1.00331745319805,0.035558572646568,1.2748556443173,0.220220705595222,11.3270216866886,0,5.5742103370387,39.0404842431075,2.3185805664319,0.0185874357016151,4.68201342336117,12.1489096044513,0,0,11.4187466411291,10.1483358183927,12.8576566092477,"D03_OSBS",9,"D03_OSBS",1105.67420959473,20.5067100524902
"8","D04_LAJA_R1_P1_v6",0.0342367017442699,12.7549733314113,0,0.0774830618422949,6.75904569698717,2.01636153957042,3.72909759261929,0,0,22.4772956609485,42.4174715294796,0,0.183797030416607,4.6633991639037,0,0,4.88683869107683,0,12.5819878910192,"D04_LAJA",13,"D04_LAJA",1342.59613037109,25.3579730987549
"9","D04_GUAN_C1_P1_v1",0.806584362139918,10.5084988370013,0,0.350688853104312,5.5344426552156,3.76596886741814,2.49203793165146,0,1.14081230989444,46.6659509751297,7.6750760422258,0,17.0706745392736,0,0,0,2.84201109321882,1.14725353372696,12.1431383073895,"D04_GUAN",11,"D04_GUAN",1625.64880371094,24.1664600372314
"10","D08_DELA_R1_P1_v1",1.34194919005046,3.85235018146411,1.07580183529551,0.455578177097164,3.32182585347142,1.27939570977546,3.8930689563601,0,4.9370039243457,5.42562922309758,1.19795815998348,3.77976453925821,9.38243191407748,19.6836918355906,0,0,0.333421852409194,40.0401286477236,8.94986869670414,"D08_DELA",24,"D08_DELA",1153.76731872559,17.7972621917725
"11","D06_KONZ_KONA_C1_P1_v2",0.0720835015281702,16.5308293126758,12.8270188185995,0.363300847701978,3.0009162613972,1.45544598863323,2.04140476327778,0,0.11405211797346,0.379960145832933,56.5166689092645,0.228424607064824,2.03403622756601,3.01757555952816,0,0,0.0877816863054162,1.33050125265107,6.86106786101019,"D06_KONZ",18,"D06_KONZ",717.663269042969,12.6408634185791
"12","D02_BLAN_R2_P1_v1",0,6.51809984035898,21.8544246451223,0.035379902489537,1.19126720455624,0.157052250075506,4.89709625922251,0,0.0125124045389826,1.15804461319411,0.344306855934763,9.43866764464771,1.53384821158908,52.7673987142426,0,0,0.073348578331967,0.0185528756957328,6.28079561634379,"D02_BLAN",4,"D02_BLAN",804.609832763672,12.135591506958
"13","D01_HOPB_C1_P2_v1",0.0657163077545243,0,31.4730563138206,0,0.856839551107067,0.123849964614296,4.20584369628956,0,0.0732989586492771,9.25336164189667,0.497927408755434,47.3359619856435,0.131432615509049,3.24284703265595,0,0,0.604084521281974,2.13578000202204,5.18653321201092,"D01_HOPB",3,"D01_HOPB",947.056198120117,7.90917158126831
"14","D11_CLBJ_C1_P1_v2",0.0621027606617825,0.0528843821260492,32.1731114453447,0.0150405123477755,0.728737082140605,0.146038523118723,4.21473970210082,0,0.00727766726505264,0.410945611566639,53.8581340061132,0.557469312503032,0.739410994129348,5.48639076221435,0,0,1.54771723836786,0,5.10455581970792,"D11_CLBJ",34,"D11_CLBJ",688.489379882812,17.5448303222656
"15","D16_WREF_C1_P1_v2",0.0333482038348226,0.105344988272916,1.00353800149294,0.00684631999257947,1.25729353928242,0.0242933935220562,3.62612025671491,0,0.0803890476548041,86.8919474025945,0.527608337492657,0.845851792631593,0.12323375986643,0.0443906554357572,0,0,4.49494034867645,0.934853952535126,4.91455350951197,"D16_WREF",47,"D16_WREF",1822.91122436523,7.33220410346985
"16","D05_UNDE_C1_P1_v1",0.0253295790577397,0,23.4463543077956,0.000589059978086969,0.0600841177648708,0.00441794983565227,4.70776734487105,0,1.45733438578716,1.47147182526125,0.37022419622766,13.8585195744631,16.1443668194296,0.000883589967130453,0,0,0.046241208279827,38.4064160412813,4.77285847244966,"D05_UNDE",17,"D05_UNDE",696.644744873047,3.60177946090698
"17","D05_LIRO_A1_P2_v1",0.0409356725146199,0,21.2923976608187,0,0.456140350877193,0,4.1812865497076,0,0.257309941520468,0.251461988304094,0.175438596491228,37.6374269005848,12.327485380117,0,0,0,0.339181286549708,23.0409356725146,4.63742690058479,"D05_LIRO",15,"D05_LIRO",689.790573120117,3.76783037185669
"18","D16_ABBY_R2_P1_v1",0.0739843960182943,0,0.830979284369115,0.0134517083669626,0.320823244552058,0.025558245897229,4.12496637072908,0,0.00168146354587033,55.1984126984127,12.9022060801722,5.99206349206349,0.00067258541834813,0.259617971482378,0,0,17.9341538875437,2.32142857142857,4.48479956954533,"D16_ABBY",45,"D16_ABBY",1453.85009765625,9.8093090057373
"19","D01_HARV_C1_P1_v1",0.169318738998691,0.0608489218276547,23.7450130340154,0.0181664897050679,1.02614210780665,0.190659955059985,3.1175812818134,0,0.824723357872792,17.069621748992,1.43515268670037,31.3214974831475,7.36413053063787,2.22336669147657,0,0,0.794916204861564,10.6388607670844,4.35254983438511,"D01_HARV",2,"D01_HARV",941.373748779297,8.05085563659668
"20","D11_PRIN_C1_P2_v2",0.0310264100563176,0.28111807899512,17.239401660383,0.0300862158121868,1.06335969011198,0.069574374065682,3.14494974661765,0,0.000940194244130837,0.000940194244130837,71.5431408128919,0.00940194244130838,0.150431079060934,5.65714876693525,0,0,0.778480834140333,0,4.3079700266075,"D11_PRIN",36,"D11_PRIN",682.873382568359,17.4288845062256
"21","D03_JERC_R2_P1_v1",0.0361189801699717,44.3751180358829,1.99787535410765,0.0028328611898017,0.811614730878187,0.0620868744098206,3.37204910292729,0,0.519357884796978,33.3248347497639,1.81019830028329,4.86968838526912,0.923512747875354,0.492681775259679,0,0,1.09631728045326,6.30571293673277,4.2485835694051,"D03_JERC",8,"D03_JERC",1105.35502115885,18.7144654591878
