class_name,count,percent_cover,Site
Open Water,463,0.002150537634408602,D01_BART_R1_P1_v1
"Developed, Open Space",5800,0.026939780301446854,D01_BART_R1_P1_v1
"Developed, Low Intensity",1862,0.008648598434705869,D01_BART_R1_P1_v1
"Developed, Medium Intensity",425,0.001974035625537054,D01_BART_R1_P1_v1
Developed High Intensity,56,2.601082236001765e-4,D01_BART_R1_P1_v1
Barren Land (Rock/Sand/Clay),325,0.001509556654822453,D01_BART_R1_P1_v1
Deciduous Forest,56142,0.2607677837385912,D01_BART_R1_P1_v1
Evergreen Forest,68247,0.31699296314359365,D01_BART_R1_P1_v1
Mixed Forest,74991,0.34831742492858636,D01_BART_R1_P1_v1
Shrub/Scrub,3101,0.014403492881859773,D01_BART_R1_P1_v1
Grassland/Herbaceous,1293,0.006005713091339789,D01_BART_R1_P1_v1
Pasture/Hay,388,0.0018021784063726514,D01_BART_R1_P1_v1
Cultivated Crops,212,9.84695417914954e-4,D01_BART_R1_P1_v1
Woody Wetlands,1600,0.007431663531433614,D01_BART_R1_P1_v1
Emergent Herbaceous Wetlands,390,0.0018114679857869436,D01_BART_R1_P1_v1
