class_name,count,percent_cover,Site
Open Water,41753,0.07364130530637873,D01_HARV_C1_P1_v1
"Developed, Open Space",17676,0.031175812818134037,D01_HARV_C1_P1_v1
"Developed, Low Intensity",5818,0.010261421078066522,D01_HARV_C1_P1_v1
"Developed, Medium Intensity",1081,0.0019065995505998469,D01_HARV_C1_P1_v1
Developed High Intensity,103,1.816648970506792e-4,D01_HARV_C1_P1_v1
Barren Land (Rock/Sand/Clay),960,0.001693187389986913,D01_HARV_C1_P1_v1
Deciduous Forest,134629,0.2374501303401543,D01_HARV_C1_P1_v1
Evergreen Forest,96781,0.17069621748992025,D01_HARV_C1_P1_v1
Mixed Forest,177586,0.3132149748314749,D01_HARV_C1_P1_v1
Shrub/Scrub,4507,0.007949162048615644,D01_HARV_C1_P1_v1
Grassland/Herbaceous,8137,0.014351526867003658,D01_HARV_C1_P1_v1
Pasture/Hay,12606,0.02223366691476565,D01_HARV_C1_P1_v1
Cultivated Crops,345,6.084892182765469e-4,D01_HARV_C1_P1_v1
Woody Wetlands,60320,0.10638860767084438,D01_HARV_C1_P1_v1
Emergent Herbaceous Wetlands,4676,0.008247233578727923,D01_HARV_C1_P1_v1
