class_name,count,percent_cover,Site
Open Water,52,0.0013143261550904862,D01_HOPB_C1_P2_v1
"Developed, Open Space",1664,0.04205843696289556,D01_HOPB_C1_P2_v1
"Developed, Low Intensity",339,0.00856839551107067,D01_HOPB_C1_P2_v1
"Developed, Medium Intensity",49,0.0012384996461429583,D01_HOPB_C1_P2_v1
Barren Land (Rock/Sand/Clay),26,6.571630775452431e-4,D01_HOPB_C1_P2_v1
Deciduous Forest,12452,0.31473056313820647,D01_HOPB_C1_P2_v1
Evergreen Forest,3661,0.09253361641896674,D01_HOPB_C1_P2_v1
Mixed Forest,18728,0.47335961985643515,D01_HOPB_C1_P2_v1
Shrub/Scrub,239,0.006040845212819735,D01_HOPB_C1_P2_v1
Grassland/Herbaceous,197,0.004979274087554342,D01_HOPB_C1_P2_v1
Pasture/Hay,1283,0.032428470326559496,D01_HOPB_C1_P2_v1
Woody Wetlands,845,0.0213578000202204,D01_HOPB_C1_P2_v1
Emergent Herbaceous Wetlands,29,7.329895864927712e-4,D01_HOPB_C1_P2_v1
