class_name,count,percent_cover,Site
Open Water,3555,0.015338482115890754,D02_BLAN_R2_P1_v1
"Developed, Open Space",11350,0.048970962592225054,D02_BLAN_R2_P1_v1
"Developed, Low Intensity",2761,0.01191267204556241,D02_BLAN_R2_P1_v1
"Developed, Medium Intensity",364,0.001570522500755059,D02_BLAN_R2_P1_v1
Developed High Intensity,82,3.537990248953704e-4,D02_BLAN_R2_P1_v1
Deciduous Forest,50652,0.2185442464512232,D02_BLAN_R2_P1_v1
Evergreen Forest,2684,0.011580446131941148,D02_BLAN_R2_P1_v1
Mixed Forest,21876,0.09438667644647711,D02_BLAN_R2_P1_v1
Shrub/Scrub,170,7.334857833196704e-4,D02_BLAN_R2_P1_v1
Grassland/Herbaceous,798,0.003443068559347629,D02_BLAN_R2_P1_v1
Pasture/Hay,122299,0.5276739871424256,D02_BLAN_R2_P1_v1
Cultivated Crops,15107,0.06518099840358976,D02_BLAN_R2_P1_v1
Woody Wetlands,43,1.8552875695732838e-4,D02_BLAN_R2_P1_v1
Emergent Herbaceous Wetlands,29,1.2512404538982612e-4,D02_BLAN_R2_P1_v1
