class_name,count,percent_cover,Site
Open Water,29540,0.1608827309761889,D02_SERC_R1_P1_v1
"Developed, Open Space",17127,0.09327821710999282,D02_SERC_R1_P1_v1
"Developed, Low Intensity",9528,0.051892033200444415,D02_SERC_R1_P1_v1
"Developed, Medium Intensity",2486,0.013539420081476156,D02_SERC_R1_P1_v1
Developed High Intensity,676,0.0036816765788728408,D02_SERC_R1_P1_v1
Barren Land (Rock/Sand/Clay),85,4.629327059233601e-4,D02_SERC_R1_P1_v1
Deciduous Forest,64881,0.353359257564865,D02_SERC_R1_P1_v1
Evergreen Forest,490,0.0026686708929699586,D02_SERC_R1_P1_v1
Mixed Forest,9804,0.05339520292791321,D02_SERC_R1_P1_v1
Shrub/Scrub,1955,0.010647452236237283,D02_SERC_R1_P1_v1
Grassland/Herbaceous,374,0.0020369039060627848,D02_SERC_R1_P1_v1
Pasture/Hay,14022,0.0763675576759689,D02_SERC_R1_P1_v1
Cultivated Crops,14968,0.08151972637953947,D02_SERC_R1_P1_v1
Woody Wetlands,16149,0.08795176785830991,D02_SERC_R1_P1_v1
Emergent Herbaceous Wetlands,1527,0.008316449905234951,D02_SERC_R1_P1_v1
