class_name,count,percent_cover,Site
Open Water,11587,0.04682013423361174,D03_OSBS_C1_P1_v1
"Developed, Open Space",28032,0.11327021686688568,D03_OSBS_C1_P1_v1
"Developed, Low Intensity",3155,0.012748556443172956,D03_OSBS_C1_P1_v1
"Developed, Medium Intensity",545,0.0022022070559522223,D03_OSBS_C1_P1_v1
Developed High Intensity,88,3.5558572646567993e-4,D03_OSBS_C1_P1_v1
Barren Land (Rock/Sand/Clay),1887,0.007624889384553841,D03_OSBS_C1_P1_v1
Deciduous Forest,2483,0.010033174531980492,D03_OSBS_C1_P1_v1
Evergreen Forest,96617,0.390404842431075,D03_OSBS_C1_P1_v1
Mixed Forest,46,1.8587435701615087e-4,D03_OSBS_C1_P1_v1
Shrub/Scrub,28259,0.11418746641129146,D03_OSBS_C1_P1_v1
Grassland/Herbaceous,5738,0.023185805664318992,D03_OSBS_C1_P1_v1
Pasture/Hay,30066,0.12148909604451287,D03_OSBS_C1_P1_v1
Cultivated Crops,66,2.6668929484925994e-4,D03_OSBS_C1_P1_v1
Woody Wetlands,25115,0.10148335818392672,D03_OSBS_C1_P1_v1
Emergent Herbaceous Wetlands,13795,0.05574210337038698,D03_OSBS_C1_P1_v1
