class_name,count,percent_cover,Site
Open Water,23852,0.17070674539273573,D04_GUAN_C1_P1_v1
"Developed, Open Space",3482,0.02492037931651458,D04_GUAN_C1_P1_v1
"Developed, Low Intensity",7733,0.05534442655215602,D04_GUAN_C1_P1_v1
"Developed, Medium Intensity",5262,0.03765968867418143,D04_GUAN_C1_P1_v1
Developed High Intensity,490,0.0035068885310431206,D04_GUAN_C1_P1_v1
Barren Land (Rock/Sand/Clay),1127,0.008065843621399177,D04_GUAN_C1_P1_v1
Evergreen Forest,65204,0.46665950975129716,D04_GUAN_C1_P1_v1
Shrub/Scrub,3971,0.028420110932188228,D04_GUAN_C1_P1_v1
Grassland/Herbaceous,10724,0.07675076042225801,D04_GUAN_C1_P1_v1
Cultivated Crops,14683,0.10508498837001252,D04_GUAN_C1_P1_v1
Woody Wetlands,1603,0.011472535337269637,D04_GUAN_C1_P1_v1
Emergent Herbaceous Wetlands,1594,0.011408123098944355,D04_GUAN_C1_P1_v1
