class_name,count,percent_cover,Site
Open Water,204,0.001837970304166066,D04_LAJA_R1_P1_v6
"Developed, Open Space",4139,0.037290975926192876,D04_LAJA_R1_P1_v6
"Developed, Low Intensity",7502,0.0675904569698717,D04_LAJA_R1_P1_v6
"Developed, Medium Intensity",2238,0.020163615395704194,D04_LAJA_R1_P1_v6
Developed High Intensity,86,7.748306184229494e-4,D04_LAJA_R1_P1_v6
Barren Land (Rock/Sand/Clay),38,3.423670174426986e-4,D04_LAJA_R1_P1_v6
Evergreen Forest,24948,0.22477295660948537,D04_LAJA_R1_P1_v6
Shrub/Scrub,5424,0.04886838691076834,D04_LAJA_R1_P1_v6
Grassland/Herbaceous,47080,0.424174715294796,D04_LAJA_R1_P1_v6
Pasture/Hay,5176,0.046633991639037045,D04_LAJA_R1_P1_v6
Cultivated Crops,14157,0.12754973331411273,D04_LAJA_R1_P1_v6
