class_name,count,percent_cover,Site
Open Water,39,4.2342518402709923e-4,D05_CHEQ_R2_P1_v2
"Developed, Open Space",1957,0.021247258593359825,D05_CHEQ_R2_P1_v2
"Developed, Low Intensity",37,4.017110720257095e-4,D05_CHEQ_R2_P1_v2
"Developed, Medium Intensity",5,5.428528000347426e-5,D05_CHEQ_R2_P1_v2
Barren Land (Rock/Sand/Clay),23,2.497122880159816e-4,D05_CHEQ_R2_P1_v2
Deciduous Forest,51925,0.5637526328360801,D05_CHEQ_R2_P1_v2
Evergreen Forest,93,0.0010097062080646213,D05_CHEQ_R2_P1_v2
Mixed Forest,8536,0.09267583002193125,D05_CHEQ_R2_P1_v2
Shrub/Scrub,183,0.0019868412481271578,D05_CHEQ_R2_P1_v2
Grassland/Herbaceous,29,3.148546240201507e-4,D05_CHEQ_R2_P1_v2
Woody Wetlands,27578,0.2994158903871626,D05_CHEQ_R2_P1_v2
Emergent Herbaceous Wetlands,1701,0.018467852257181942,D05_CHEQ_R2_P1_v2
