class_name,count,percent_cover,Site
Open Water,2108,0.12327485380116959,D05_LIRO_A1_P2_v1
"Developed, Open Space",715,0.041812865497076024,D05_LIRO_A1_P2_v1
"Developed, Low Intensity",78,0.0045614035087719294,D05_LIRO_A1_P2_v1
Barren Land (Rock/Sand/Clay),7,4.0935672514619883e-4,D05_LIRO_A1_P2_v1
Deciduous Forest,3641,0.21292397660818713,D05_LIRO_A1_P2_v1
Evergreen Forest,43,0.0025146198830409356,D05_LIRO_A1_P2_v1
Mixed Forest,6436,0.376374269005848,D05_LIRO_A1_P2_v1
Shrub/Scrub,58,0.003391812865497076,D05_LIRO_A1_P2_v1
Grassland/Herbaceous,30,0.0017543859649122807,D05_LIRO_A1_P2_v1
Woody Wetlands,3940,0.2304093567251462,D05_LIRO_A1_P2_v1
Emergent Herbaceous Wetlands,44,0.0025730994152046785,D05_LIRO_A1_P2_v1
