class_name,count,percent_cover,Site
Open Water,15599,0.034919355741356344,D05_STEI_TREE_R1_P1_v2
"Developed, Open Space",11863,0.02655608161803387,D05_STEI_TREE_R1_P1_v2
"Developed, Low Intensity",1632,0.003653336019609818,D05_STEI_TREE_R1_P1_v2
"Developed, Medium Intensity",33,7.387260333769853e-5,D05_STEI_TREE_R1_P1_v2
Barren Land (Rock/Sand/Clay),113,2.529577023381798e-4,D05_STEI_TREE_R1_P1_v2
Deciduous Forest,115500,0.25855411168194486,D05_STEI_TREE_R1_P1_v2
Evergreen Forest,12348,0.027641785030724286,D05_STEI_TREE_R1_P1_v2
Mixed Forest,98767,0.2210962246622567,D05_STEI_TREE_R1_P1_v2
Shrub/Scrub,8438,0.018889000817075764,D05_STEI_TREE_R1_P1_v2
Grassland/Herbaceous,7140,0.015983345085792956,D05_STEI_TREE_R1_P1_v2
Pasture/Hay,400,8.954254950024065e-4,D05_STEI_TREE_R1_P1_v2
Cultivated Crops,16229,0.03632965089598514,D05_STEI_TREE_R1_P1_v2
Woody Wetlands,138769,0.31064325128997233,D05_STEI_TREE_R1_P1_v2
Emergent Herbaceous Wetlands,19884,0.044511601356569626,D05_STEI_TREE_R1_P1_v2
