class_name,count,percent_cover,Site
Open Water,54814,0.16144366819429554,D05_UNDE_C1_P1_v1
"Developed, Open Space",15984,0.04707767344871055,D05_UNDE_C1_P1_v1
"Developed, Low Intensity",204,6.008411776487082e-4,D05_UNDE_C1_P1_v1
"Developed, Medium Intensity",15,4.417949835652266e-5,D05_UNDE_C1_P1_v1
Developed High Intensity,2,5.890599780869688e-6,D05_UNDE_C1_P1_v1
Barren Land (Rock/Sand/Clay),86,2.532957905773966e-4,D05_UNDE_C1_P1_v1
Deciduous Forest,79606,0.2344635430779562,D05_UNDE_C1_P1_v1
Evergreen Forest,4996,0.014714718252612481,D05_UNDE_C1_P1_v1
Mixed Forest,47053,0.1385851957446307,D05_UNDE_C1_P1_v1
Shrub/Scrub,157,4.624120827982705e-4,D05_UNDE_C1_P1_v1
Grassland/Herbaceous,1257,0.003702241962276599,D05_UNDE_C1_P1_v1
Pasture/Hay,3,8.835899671304533e-6,D05_UNDE_C1_P1_v1
Woody Wetlands,130399,0.3840641604128132,D05_UNDE_C1_P1_v1
Emergent Herbaceous Wetlands,4948,0.014573343857871608,D05_UNDE_C1_P1_v1
