class_name,count,percent_cover,Site
Open Water,6349,0.020340362275660124,D06_KONZ_KONA_C1_P1_v2
"Developed, Open Space",6372,0.02041404763277781,D06_KONZ_KONA_C1_P1_v2
"Developed, Low Intensity",9367,0.030009162613972025,D06_KONZ_KONA_C1_P1_v2
"Developed, Medium Intensity",4543,0.014554459886332327,D06_KONZ_KONA_C1_P1_v2
Developed High Intensity,1134,0.0036330084770197797,D06_KONZ_KONA_C1_P1_v2
Barren Land (Rock/Sand/Clay),225,7.208350152817023e-4,D06_KONZ_KONA_C1_P1_v2
Deciduous Forest,40038,0.12827018818599464,D06_KONZ_KONA_C1_P1_v2
Evergreen Forest,1186,0.0037996014583293286,D06_KONZ_KONA_C1_P1_v2
Mixed Forest,713,0.0022842460706482388,D06_KONZ_KONA_C1_P1_v2
Shrub/Scrub,274,8.778168630541619e-4,D06_KONZ_KONA_C1_P1_v2
Grassland/Herbaceous,176410,0.5651666890926449,D06_KONZ_KONA_C1_P1_v2
Pasture/Hay,9419,0.030175755595281573,D06_KONZ_KONA_C1_P1_v2
Cultivated Crops,51599,0.16530829312675804,D06_KONZ_KONA_C1_P1_v2
Woody Wetlands,4153,0.01330501252651071,D06_KONZ_KONA_C1_P1_v2
Emergent Herbaceous Wetlands,356,0.0011405211797346046,D06_KONZ_KONA_C1_P1_v2
