class_name,count,percent_cover,Site
Open Water,69,9.836009488185384e-5,D07_GRSM_R1_P1_all_v1
"Developed, Open Space",9361,0.013344186205638172,D07_GRSM_R1_P1_all_v1
"Developed, Low Intensity",1016,0.001448316759419761,D07_GRSM_R1_P1_all_v1
"Developed, Medium Intensity",1108,0.001579463552595566,D07_GRSM_R1_P1_all_v1
Developed High Intensity,595,8.481776297783049e-4,D07_GRSM_R1_P1_all_v1
Barren Land (Rock/Sand/Clay),50,7.127543107380714e-5,D07_GRSM_R1_P1_all_v1
Deciduous Forest,190255,0.2712101427789435,D07_GRSM_R1_P1_all_v1
Evergreen Forest,117874,0.16803040324787885,D07_GRSM_R1_P1_all_v1
Mixed Forest,377062,0.5375051318310373,D07_GRSM_R1_P1_all_v1
Shrub/Scrub,3475,0.004953642459629596,D07_GRSM_R1_P1_all_v1
Grassland/Herbaceous,79,1.1261518109661528e-4,D07_GRSM_R1_P1_all_v1
Pasture/Hay,552,7.868807590548307e-4,D07_GRSM_R1_P1_all_v1
Woody Wetlands,8,1.1404068971809141e-5,D07_GRSM_R1_P1_all_v1
