class_name,count,percent_cover,Site
Open Water,26352,0.08082295136269116,D07_ORNL_C1_P1_v8
"Developed, Open Space",16013,0.04911270188869055,D07_ORNL_C1_P1_v8
"Developed, Low Intensity",13574,0.04163216233292235,D07_ORNL_C1_P1_v8
"Developed, Medium Intensity",8146,0.024984204682774822,D07_ORNL_C1_P1_v8
Developed High Intensity,4481,0.013743459511848022,D07_ORNL_C1_P1_v8
Barren Land (Rock/Sand/Clay),724,0.0022205455671899057,D07_ORNL_C1_P1_v8
Deciduous Forest,184170,0.5648589462836532,D07_ORNL_C1_P1_v8
Evergreen Forest,9964,0.030560105015856657,D07_ORNL_C1_P1_v8
Mixed Forest,20044,0.061475988050765845,D07_ORNL_C1_P1_v8
Shrub/Scrub,1924,0.005901007833250523,D07_ORNL_C1_P1_v8
Grassland/Herbaceous,4623,0.014178980879998528,D07_ORNL_C1_P1_v8
Pasture/Hay,29402,0.0901774596222619,D07_ORNL_C1_P1_v8
Cultivated Crops,25,7.667629720959619e-5,D07_ORNL_C1_P1_v8
Woody Wetlands,6447,0.019773283524410667,D07_ORNL_C1_P1_v8
Emergent Herbaceous Wetlands,157,4.815271464762641e-4,D07_ORNL_C1_P1_v8
