class_name,count,percent_cover,Site
Open Water,15899,0.09382431914077484,D08_DELA_R1_P1_v1
"Developed, Open Space",6597,0.038930689563600955,D08_DELA_R1_P1_v1
"Developed, Low Intensity",5629,0.03321825853471423,D08_DELA_R1_P1_v1
"Developed, Medium Intensity",2168,0.012793957097754566,D08_DELA_R1_P1_v1
Developed High Intensity,772,0.004555781770971644,D08_DELA_R1_P1_v1
Barren Land (Rock/Sand/Clay),2274,0.013419491900504558,D08_DELA_R1_P1_v1
Deciduous Forest,1823,0.010758018352955062,D08_DELA_R1_P1_v1
Evergreen Forest,9194,0.05425629223097578,D08_DELA_R1_P1_v1
Mixed Forest,6405,0.037797645392582103,D08_DELA_R1_P1_v1
Shrub/Scrub,565,0.0033342185240919416,D08_DELA_R1_P1_v1
Grassland/Herbaceous,2030,0.011979581599834765,D08_DELA_R1_P1_v1
Pasture/Hay,33355,0.1968369183559057,D08_DELA_R1_P1_v1
Cultivated Crops,6528,0.03852350181464106,D08_DELA_R1_P1_v1
Woody Wetlands,67850,0.40040128647723583,D08_DELA_R1_P1_v1
Emergent Herbaceous Wetlands,8366,0.04937003924345697,D08_DELA_R1_P1_v1
