class_name,count,percent_cover,Site
Open Water,6755,0.043736403190717914,D08_LENO_R2_P1_v1
"Developed, Open Space",2537,0.016426240546980213,D08_LENO_R2_P1_v1
"Developed, Low Intensity",98,6.345177664974619e-4,D08_LENO_R2_P1_v1
"Developed, Medium Intensity",1,6.474671086708795e-6,D08_LENO_R2_P1_v1
Barren Land (Rock/Sand/Clay),522,0.003379778307261991,D08_LENO_R2_P1_v1
Deciduous Forest,3150,0.020395213923132705,D08_LENO_R2_P1_v1
Evergreen Forest,23287,0.1507756655961877,D08_LENO_R2_P1_v1
Mixed Forest,20972,0.13578680203045684,D08_LENO_R2_P1_v1
Shrub/Scrub,6893,0.044629907800683724,D08_LENO_R2_P1_v1
Grassland/Herbaceous,11414,0.07390189578369419,D08_LENO_R2_P1_v1
Pasture/Hay,2762,0.017883041541489692,D08_LENO_R2_P1_v1
Cultivated Crops,145,9.388273075727753e-4,D08_LENO_R2_P1_v1
Woody Wetlands,73921,0.47861416140060087,D08_LENO_R2_P1_v1
Emergent Herbaceous Wetlands,1991,0.012891070133637212,D08_LENO_R2_P1_v1
