class_name,count,percent_cover,Site
Open Water,696,0.0035905716540876285,D08_TALL_C1_P1_v1
"Developed, Open Space",7808,0.04028043602746581,D08_TALL_C1_P1_v1
"Developed, Low Intensity",60,3.095320391454852e-4,D08_TALL_C1_P1_v1
"Developed, Medium Intensity",1,5.158867319091421e-6,D08_TALL_C1_P1_v1
Deciduous Forest,68242,0.3520514235894367,D08_TALL_C1_P1_v1
Evergreen Forest,54368,0.28047729840436236,D08_TALL_C1_P1_v1
Mixed Forest,42468,0.21908677730717444,D08_TALL_C1_P1_v1
Shrub/Scrub,8632,0.04453134269839714,D08_TALL_C1_P1_v1
Grassland/Herbaceous,6083,0.03138138990203311,D08_TALL_C1_P1_v1
Pasture/Hay,129,6.654938841627932e-4,D08_TALL_C1_P1_v1
Woody Wetlands,5345,0.02757414582054364,D08_TALL_C1_P1_v1
Emergent Herbaceous Wetlands,9,4.6429805871822784e-5,D08_TALL_C1_P1_v1
