class_name,count,percent_cover,Site
Open Water,67342,0.10678781824092354,D09_WOOD_DCFS_C1_P1_v2
"Developed, Open Space",12819,0.02032777526700126,D09_WOOD_DCFS_C1_P1_v2
"Developed, Low Intensity",1580,0.0025054906718045083,D09_WOOD_DCFS_C1_P1_v2
"Developed, Medium Intensity",68,1.0783124410297884e-4,D09_WOOD_DCFS_C1_P1_v2
Developed High Intensity,5,7.928767948748444e-6,D09_WOOD_DCFS_C1_P1_v2
Barren Land (Rock/Sand/Clay),176,2.7909263179594525e-4,D09_WOOD_DCFS_C1_P1_v2
Deciduous Forest,4740,0.007516472015413525,D09_WOOD_DCFS_C1_P1_v2
Evergreen Forest,13,2.0614796666745956e-5,D09_WOOD_DCFS_C1_P1_v2
Shrub/Scrub,657,0.0010418401084655456,D09_WOOD_DCFS_C1_P1_v2
Grassland/Herbaceous,284705,0.4514719757696852,D09_WOOD_DCFS_C1_P1_v2
Pasture/Hay,25073,0.03975959975579395,D09_WOOD_DCFS_C1_P1_v2
Cultivated Crops,191221,0.3032293871855252,D09_WOOD_DCFS_C1_P1_v2
Woody Wetlands,615,9.752384576960586e-4,D09_WOOD_DCFS_C1_P1_v2
Emergent Herbaceous Wetlands,41601,0.0659689350871768,D09_WOOD_DCFS_C1_P1_v2
