class_name,count,percent_cover,Site
"Developed, Open Space",6740,0.01911622894094957,D10_ARIK_A1_P2_v2
"Developed, Low Intensity",47,1.3330308015202223e-4,D10_ARIK_A1_P2_v2
Deciduous Forest,16,4.537977196664587e-5,D10_ARIK_A1_P2_v2
Evergreen Forest,4,1.1344942991661467e-5,D10_ARIK_A1_P2_v2
Mixed Forest,55,1.5599296613534518e-4,D10_ARIK_A1_P2_v2
Shrub/Scrub,796,0.0022576436553406317,D10_ARIK_A1_P2_v2
Grassland/Herbaceous,254611,0.7221368200124795,D10_ARIK_A1_P2_v2
Pasture/Hay,8298,0.023535084236201712,D10_ARIK_A1_P2_v2
Cultivated Crops,71934,0.204021782290544,D10_ARIK_A1_P2_v2
Woody Wetlands,3538,0.010034602076124567,D10_ARIK_A1_P2_v2
Emergent Herbaceous Wetlands,6541,0.018551818027114413,D10_ARIK_A1_P2_v2
