class_name,count,percent_cover,Site
Open Water,72,2.25382445837781e-4,D10_RMNP_R2_P1_v1
"Developed, Open Space",2844,0.00890260661059235,D10_RMNP_R2_P1_v1
"Developed, Low Intensity",1113,0.0034840369752423645,D10_RMNP_R2_P1_v1
"Developed, Medium Intensity",212,6.636260905223551e-4,D10_RMNP_R2_P1_v1
Barren Land (Rock/Sand/Clay),552,0.0017279320847563208,D10_RMNP_R2_P1_v1
Deciduous Forest,6347,0.019868088662949944,D10_RMNP_R2_P1_v1
Evergreen Forest,270910,0.8480327555821284,D10_RMNP_R2_P1_v1
Mixed Forest,329,0.0010298725650087492,D10_RMNP_R2_P1_v1
Shrub/Scrub,23968,0.0750273119699991,D10_RMNP_R2_P1_v1
Grassland/Herbaceous,4200,0.013147309340537225,D10_RMNP_R2_P1_v1
Pasture/Hay,1375,0.004304178653152068,D10_RMNP_R2_P1_v1
Woody Wetlands,5885,0.018421884635490847,D10_RMNP_R2_P1_v1
Emergent Herbaceous Wetlands,1650,0.0051650143837824805,D10_RMNP_R2_P1_v1
