class_name,count,percent_cover,Site
"Developed, Open Space",6279,0.03272988850257763,D10_STER_R1_P1
"Developed, Low Intensity",232,0.001209322206179011,D10_STER_R1_P1
"Developed, Medium Intensity",4,2.0850382865155363e-5,D10_STER_R1_P1
Barren Land (Rock/Sand/Clay),63,3.2839353012619697e-4,D10_STER_R1_P1
Deciduous Forest,85,4.4307063588455145e-4,D10_STER_R1_P1
Mixed Forest,32,1.668030629212429e-4,D10_STER_R1_P1
Shrub/Scrub,21,1.0946451004206565e-4,D10_STER_R1_P1
Grassland/Herbaceous,56561,0.2948296263090131,D10_STER_R1_P1
Pasture/Hay,913,0.0047590998889717115,D10_STER_R1_P1
Cultivated Crops,127653,0.6654034809714193,D10_STER_R1_P1
