class_name,count,percent_cover,Site
Open Water,160,0.00150431079060934,D11_PRIN_C1_P2_v2
"Developed, Open Space",3345,0.031449497466176514,D11_PRIN_C1_P2_v2
"Developed, Low Intensity",1131,0.010633596901119771,D11_PRIN_C1_P2_v2
"Developed, Medium Intensity",74,6.957437406568197e-4,D11_PRIN_C1_P2_v2
Developed High Intensity,32,3.0086215812186797e-4,D11_PRIN_C1_P2_v2
Barren Land (Rock/Sand/Clay),33,3.1026410056317637e-4,D11_PRIN_C1_P2_v2
Deciduous Forest,18336,0.17239401660383036,D11_PRIN_C1_P2_v2
Evergreen Forest,1,9.401942441308374e-6,D11_PRIN_C1_P2_v2
Mixed Forest,10,9.401942441308375e-5,D11_PRIN_C1_P2_v2
Shrub/Scrub,828,0.007784808341403334,D11_PRIN_C1_P2_v2
Grassland/Herbaceous,76094,0.7154314081289195,D11_PRIN_C1_P2_v2
Pasture/Hay,6017,0.05657148766935249,D11_PRIN_C1_P2_v2
Cultivated Crops,299,0.0028111807899512038,D11_PRIN_C1_P2_v2
Emergent Herbaceous Wetlands,1,9.401942441308374e-6,D11_PRIN_C1_P2_v2
