class_name,count,percent_cover,Site
Open Water,1728,0.0038063602341087766,D12_YELL_C1_P1_v2
"Developed, Open Space",3719,0.008192044971441284,D12_YELL_C1_P1_v2
"Developed, Low Intensity",72,1.5859834308786568e-4,D12_YELL_C1_P1_v2
"Developed, Medium Intensity",5,1.1013773825546228e-5,D12_YELL_C1_P1_v2
Barren Land (Rock/Sand/Clay),252,5.550942008075299e-4,D12_YELL_C1_P1_v2
Deciduous Forest,80,1.7622038120873964e-4,D12_YELL_C1_P1_v2
Evergreen Forest,71947,0.1584815970853149,D12_YELL_C1_P1_v2
Mixed Forest,34,7.489366201371434e-5,D12_YELL_C1_P1_v2
Shrub/Scrub,360992,0.7951768481663168,D12_YELL_C1_P1_v2
Grassland/Herbaceous,6873,0.015139533500595844,D12_YELL_C1_P1_v2
Woody Wetlands,2846,0.006269040061500913,D12_YELL_C1_P1_v2
Emergent Herbaceous Wetlands,5429,0.011958755619778095,D12_YELL_C1_P1_v2
