class_name,count,percent_cover,Site
Open Water,3490,0.015444528034694871,D13_NIWO_C1_P1_v2
Perennial Ice/Snow,2924,0.01293977076603089,D13_NIWO_C1_P1_v2
"Developed, Open Space",1522,0.006735407354958623,D13_NIWO_C1_P1_v2
"Developed, Low Intensity",945,0.0041819710581050586,D13_NIWO_C1_P1_v2
"Developed, Medium Intensity",68,3.009249015356021e-4,D13_NIWO_C1_P1_v2
Barren Land (Rock/Sand/Clay),11900,0.052661857768730364,D13_NIWO_C1_P1_v2
Deciduous Forest,4226,0.018701597557197858,D13_NIWO_C1_P1_v2
Evergreen Forest,142294,0.6297030579280436,D13_NIWO_C1_P1_v2
Mixed Forest,89,3.9385759171571447e-4,D13_NIWO_C1_P1_v2
Shrub/Scrub,37312,0.16511926361906448,D13_NIWO_C1_P1_v2
Grassland/Herbaceous,15716,0.0695490551843165,D13_NIWO_C1_P1_v2
Pasture/Hay,17,7.523122538390052e-5,D13_NIWO_C1_P1_v2
Woody Wetlands,4716,0.020870026994733813,D13_NIWO_C1_P1_v2
Emergent Herbaceous Wetlands,751,0.0033234500154887816,D13_NIWO_C1_P1_v2
