class_name,count,percent_cover,Site
Open Water,4,7.0459749867887965e-6,D14_SRER_C1_P1_v3
"Developed, Open Space",2327,0.004098995948564383,D14_SRER_C1_P1_v3
"Developed, Low Intensity",445,7.838647172802536e-4,D14_SRER_C1_P1_v3
"Developed, Medium Intensity",182,3.2059186189889027e-4,D14_SRER_C1_P1_v3
Developed High Intensity,25,4.403734366742998e-5,D14_SRER_C1_P1_v3
Barren Land (Rock/Sand/Clay),597,0.001051611766778228,D14_SRER_C1_P1_v3
Deciduous Forest,24,4.227584992073278e-5,D14_SRER_C1_P1_v3
Evergreen Forest,55360,0.09751629381715694,D14_SRER_C1_P1_v3
Mixed Forest,776,0.0013669191474370266,D14_SRER_C1_P1_v3
Shrub/Scrub,489251,0.8618125770653514,D14_SRER_C1_P1_v3
Grassland/Herbaceous,18522,0.03262638717632552,D14_SRER_C1_P1_v3
Cultivated Crops,30,5.284481240091598e-5,D14_SRER_C1_P1_v3
Woody Wetlands,148,2.607010745111855e-4,D14_SRER_C1_P1_v3
Emergent Herbaceous Wetlands,9,1.5853443720274793e-5,D14_SRER_C1_P1_v3
