class_name,count,percent_cover,Site
Open Water,67,2.3712197625241105e-4,D15_ONAQ_C1_P1_v2
"Developed, Open Space",730,0.002583567800959105,D15_ONAQ_C1_P1_v2
"Developed, Low Intensity",699,0.002473854647767691,D15_ONAQ_C1_P1_v2
"Developed, Medium Intensity",64,2.2650457433066127e-4,D15_ONAQ_C1_P1_v2
Barren Land (Rock/Sand/Clay),99,3.503742634177417e-4,D15_ONAQ_C1_P1_v2
Deciduous Forest,910,0.00322061191626409,D15_ONAQ_C1_P1_v2
Evergreen Forest,55614,0.19682539682539682,D15_ONAQ_C1_P1_v2
Mixed Forest,67,2.3712197625241105e-4,D15_ONAQ_C1_P1_v2
Shrub/Scrub,161317,0.5709224752703014,D15_ONAQ_C1_P1_v2
Grassland/Herbaceous,56461,0.19982304330130418,D15_ONAQ_C1_P1_v2
Pasture/Hay,4703,0.016644547079329688,D15_ONAQ_C1_P1_v2
Cultivated Crops,1655,0.005857266726831944,D15_ONAQ_C1_P1_v2
Woody Wetlands,51,1.804958326697457e-4,D15_ONAQ_C1_P1_v2
Emergent Herbaceous Wetlands,118,4.1761780892215675e-4,D15_ONAQ_C1_P1_v2
