class_name,count,percent_cover,Site
Open Water,2,6.7258541834813025e-6,D16_ABBY_R2_P1_v1
"Developed, Open Space",12266,0.04124966370729083,D16_ABBY_R2_P1_v1
"Developed, Low Intensity",954,0.003208232445520581,D16_ABBY_R2_P1_v1
"Developed, Medium Intensity",76,2.555824589722895e-4,D16_ABBY_R2_P1_v1
Developed High Intensity,40,1.3451708366962604e-4,D16_ABBY_R2_P1_v1
Barren Land (Rock/Sand/Clay),220,7.398439601829433e-4,D16_ABBY_R2_P1_v1
Deciduous Forest,2471,0.008309792843691148,D16_ABBY_R2_P1_v1
Evergreen Forest,164138,0.551984126984127,D16_ABBY_R2_P1_v1
Mixed Forest,17818,0.05992063492063492,D16_ABBY_R2_P1_v1
Shrub/Scrub,53329,0.1793415388754372,D16_ABBY_R2_P1_v1
Grassland/Herbaceous,38366,0.12902206080172182,D16_ABBY_R2_P1_v1
Pasture/Hay,772,0.0025961797148237827,D16_ABBY_R2_P1_v1
Woody Wetlands,6903,0.023214285714285715,D16_ABBY_R2_P1_v1
Emergent Herbaceous Wetlands,5,1.6814635458703255e-5,D16_ABBY_R2_P1_v1
