class_name,count,percent_cover,Site
Open Water,558,0.001232337598664305,D16_WREF_C1_P1_v2
"Developed, Open Space",16419,0.036261202567149146,D16_WREF_C1_P1_v2
"Developed, Low Intensity",5693,0.012572935392824173,D16_WREF_C1_P1_v2
"Developed, Medium Intensity",110,2.4293393522056194e-4,D16_WREF_C1_P1_v2
Developed High Intensity,31,6.846319992579472e-5,D16_WREF_C1_P1_v2
Barren Land (Rock/Sand/Clay),151,3.334820383482259e-4,D16_WREF_C1_P1_v2
Deciduous Forest,4544,0.010035380014929395,D16_WREF_C1_P1_v2
Evergreen Forest,393445,0.8689194740259454,D16_WREF_C1_P1_v2
Mixed Forest,3830,0.008458517926315929,D16_WREF_C1_P1_v2
Shrub/Scrub,20353,0.044949403486764516,D16_WREF_C1_P1_v2
Grassland/Herbaceous,2389,0.005276083374926568,D16_WREF_C1_P1_v2
Pasture/Hay,201,4.4390655435757226e-4,D16_WREF_C1_P1_v2
Cultivated Crops,477,0.001053449882729164,D16_WREF_C1_P1_v2
Woody Wetlands,4233,0.00934853952535126,D16_WREF_C1_P1_v2
Emergent Herbaceous Wetlands,364,8.038904765480413e-4,D16_WREF_C1_P1_v2
