class_name,count,percent_cover,Site
Open Water,72,4.1208083652409814e-4,D17_SJER_C1_P1_v2
"Developed, Open Space",2344,0.013415520566840084,D17_SJER_C1_P1_v2
"Developed, Low Intensity",251,0.00143655958288262,D17_SJER_C1_P1_v2
"Developed, Medium Intensity",55,3.147839723447972e-4,D17_SJER_C1_P1_v2
Developed High Intensity,46,2.632738677792849e-4,D17_SJER_C1_P1_v2
Deciduous Forest,588,0.0033653268316134683,D17_SJER_C1_P1_v2
Evergreen Forest,13108,0.07502160562719276,D17_SJER_C1_P1_v2
Mixed Forest,57,3.2623066224824436e-4,D17_SJER_C1_P1_v2
Shrub/Scrub,42901,0.24553722177389353,D17_SJER_C1_P1_v2
Grassland/Herbaceous,115263,0.6596899091705156,D17_SJER_C1_P1_v2
Cultivated Crops,35,2.003170733103255e-4,D17_SJER_C1_P1_v2
Woody Wetlands,1,5.7233449517235855e-6,D17_SJER_C1_P1_v2
Emergent Herbaceous Wetlands,2,1.1446689903447171e-5,D17_SJER_C1_P1_v2
