class_name,count,percent_cover,Site
Open Water,1110,9.205743388659022e-4,D19_BONA_C1_P1_v1
"Developed, Open Space",416,3.450080405119057e-4,D19_BONA_C1_P1_v1
"Developed, Low Intensity",4417,0.0036632223916853064,D19_BONA_C1_P1_v1
Barren Land (Rock/Sand/Clay),1784,0.0014795537121952878,D19_BONA_C1_P1_v1
Deciduous Forest,263289,0.2183577451402383,D19_BONA_C1_P1_v1
Evergreen Forest,445383,0.3693767214118127,D19_BONA_C1_P1_v1
Mixed Forest,155016,0.12856193848075378,D19_BONA_C1_P1_v1
Dwarf Scrub,682,5.6561414333923e-4,D19_BONA_C1_P1_v1
Shrub/Scrub,253503,0.21024176272569622,D19_BONA_C1_P1_v1
Grassland/Herbaceous,5497,0.004558916343014292,D19_BONA_C1_P1_v1
Sedge/Herbaceous,43,3.566188880291333e-5,D19_BONA_C1_P1_v1
Woody Wetlands,74629,0.061893281383084156,D19_BONA_C1_P1_v1
