class_name,count,percent_cover,Site
Open Water,6408,0.006070486993640578,D19_DEJU_R1_P1_v2
"Developed, Open Space",1951,0.0018482397198178475,D19_DEJU_R1_P1_v2
"Developed, Low Intensity",18397,0.017428019541511502,D19_DEJU_R1_P1_v2
"Developed, Medium Intensity",472,4.471394914167217e-4,D19_DEJU_R1_P1_v2
Developed High Intensity,115,1.0894288456127753e-4,D19_DEJU_R1_P1_v2
Barren Land (Rock/Sand/Clay),26775,0.02536474551415831,D19_DEJU_R1_P1_v2
Deciduous Forest,71683,0.06790741560005267,D19_DEJU_R1_P1_v2
Evergreen Forest,297622,0.28194607990344817,D19_DEJU_R1_P1_v2
Mixed Forest,37605,0.035624323251537755,D19_DEJU_R1_P1_v2
Dwarf Scrub,2958,0.0028022004568022518,D19_DEJU_R1_P1_v2
Shrub/Scrub,424733,0.4023620712031747,D19_DEJU_R1_P1_v2
Grassland/Herbaceous,1434,0.0013584704040075825,D19_DEJU_R1_P1_v2
Sedge/Herbaceous,1606,0.001521411066134015,D19_DEJU_R1_P1_v2
Woody Wetlands,163408,0.1548012076555586,D19_DEJU_R1_P1_v2
Emergent Herbaceous Wetlands,432,4.0924631417801644e-4,D19_DEJU_R1_P1_v2
