class_name,count,percent_cover,Site
Open Water,3347,0.0052400857952499495,D19_HEAL_R3_P1_v1
"Developed, Open Space",1442,0.002257604934792479,D19_HEAL_R3_P1_v1
"Developed, Low Intensity",5217,0.008167770419426049,D19_HEAL_R3_P1_v1
Barren Land (Rock/Sand/Clay),237,3.710487999624254e-4,D19_HEAL_R3_P1_v1
Deciduous Forest,2799,0.0043821332957587715,D19_HEAL_R3_P1_v1
Evergreen Forest,110677,0.1732766583689509,D19_HEAL_R3_P1_v1
Mixed Forest,15701,0.02458159159582296,D19_HEAL_R3_P1_v1
Dwarf Scrub,85545,0.13392982950542484,D19_HEAL_R3_P1_v1
Shrub/Scrub,412950,0.6465173077826312,D19_HEAL_R3_P1_v1
Grassland/Herbaceous,90,1.409046075806679e-4,D19_HEAL_R3_P1_v1
Sedge/Herbaceous,497,7.78106555195466e-4,D19_HEAL_R3_P1_v1
Woody Wetlands,228,3.5695833920435866e-4,D19_HEAL_R3_P1_v1
