site,imperv_class,imperv_freq
D01_BART_R1_P1_v1,5,3889
D01_BART_R1_P1_v1,10,1056
D01_BART_R1_P1_v1,15,556
D01_BART_R1_P1_v1,20,389
D01_BART_R1_P1_v1,25,365
D01_BART_R1_P1_v1,30,335
D01_BART_R1_P1_v1,35,348
D01_BART_R1_P1_v1,40,333
D01_BART_R1_P1_v1,45,225
D01_BART_R1_P1_v1,50,212
D01_BART_R1_P1_v1,55,129
D01_BART_R1_P1_v1,60,87
D01_BART_R1_P1_v1,65,83
D01_BART_R1_P1_v1,70,38
D01_BART_R1_P1_v1,75,31
D01_BART_R1_P1_v1,80,26
D01_BART_R1_P1_v1,85,17
D01_BART_R1_P1_v1,90,9
D01_BART_R1_P1_v1,95,15
D01_BART_R1_P1_v1,100,0
