site,imperv_class,imperv_freq
D01_HARV_C1_P1_v1,5,11896
D01_HARV_C1_P1_v1,10,2654
D01_HARV_C1_P1_v1,15,1856
D01_HARV_C1_P1_v1,20,1616
D01_HARV_C1_P1_v1,25,1442
D01_HARV_C1_P1_v1,30,1166
D01_HARV_C1_P1_v1,35,996
D01_HARV_C1_P1_v1,40,744
D01_HARV_C1_P1_v1,45,649
D01_HARV_C1_P1_v1,50,564
D01_HARV_C1_P1_v1,55,345
D01_HARV_C1_P1_v1,60,278
D01_HARV_C1_P1_v1,65,180
D01_HARV_C1_P1_v1,70,93
D01_HARV_C1_P1_v1,75,70
D01_HARV_C1_P1_v1,80,34
D01_HARV_C1_P1_v1,85,34
D01_HARV_C1_P1_v1,90,31
D01_HARV_C1_P1_v1,95,12
D01_HARV_C1_P1_v1,100,18
