site,imperv_class,imperv_freq
D01_HOPB_C1_P2_v1,5,1145
D01_HOPB_C1_P2_v1,10,277
D01_HOPB_C1_P2_v1,15,158
D01_HOPB_C1_P2_v1,20,102
D01_HOPB_C1_P2_v1,25,90
D01_HOPB_C1_P2_v1,30,69
D01_HOPB_C1_P2_v1,35,66
D01_HOPB_C1_P2_v1,40,41
D01_HOPB_C1_P2_v1,45,32
D01_HOPB_C1_P2_v1,50,24
D01_HOPB_C1_P2_v1,55,17
D01_HOPB_C1_P2_v1,60,13
D01_HOPB_C1_P2_v1,65,11
D01_HOPB_C1_P2_v1,70,7
D01_HOPB_C1_P2_v1,75,0
D01_HOPB_C1_P2_v1,80,0
D01_HOPB_C1_P2_v1,85,0
D01_HOPB_C1_P2_v1,90,0
D01_HOPB_C1_P2_v1,95,0
D01_HOPB_C1_P2_v1,100,0
