site,imperv_class,imperv_freq
D02_BLAN_R2_P1_v1,5,8188
D02_BLAN_R2_P1_v1,10,1539
D02_BLAN_R2_P1_v1,15,975
D02_BLAN_R2_P1_v1,20,853
D02_BLAN_R2_P1_v1,25,788
D02_BLAN_R2_P1_v1,30,630
D02_BLAN_R2_P1_v1,35,514
D02_BLAN_R2_P1_v1,40,341
D02_BLAN_R2_P1_v1,45,155
D02_BLAN_R2_P1_v1,50,144
D02_BLAN_R2_P1_v1,55,111
D02_BLAN_R2_P1_v1,60,67
D02_BLAN_R2_P1_v1,65,54
D02_BLAN_R2_P1_v1,70,58
D02_BLAN_R2_P1_v1,75,34
D02_BLAN_R2_P1_v1,80,29
D02_BLAN_R2_P1_v1,85,27
D02_BLAN_R2_P1_v1,90,24
D02_BLAN_R2_P1_v1,95,17
D02_BLAN_R2_P1_v1,100,9
