site,imperv_class,imperv_freq
D02_SCBI_C1_P1_v1,5,9461
D02_SCBI_C1_P1_v1,10,2171
D02_SCBI_C1_P1_v1,15,1731
D02_SCBI_C1_P1_v1,20,1571
D02_SCBI_C1_P1_v1,25,1496
D02_SCBI_C1_P1_v1,30,1374
D02_SCBI_C1_P1_v1,35,1139
D02_SCBI_C1_P1_v1,40,1140
D02_SCBI_C1_P1_v1,45,982
D02_SCBI_C1_P1_v1,50,739
D02_SCBI_C1_P1_v1,55,491
D02_SCBI_C1_P1_v1,60,340
D02_SCBI_C1_P1_v1,65,300
D02_SCBI_C1_P1_v1,70,203
D02_SCBI_C1_P1_v1,75,208
D02_SCBI_C1_P1_v1,80,209
D02_SCBI_C1_P1_v1,85,187
D02_SCBI_C1_P1_v1,90,206
D02_SCBI_C1_P1_v1,95,188
D02_SCBI_C1_P1_v1,100,104
