site,imperv_class,imperv_freq
D02_SERC_R1_P1_v1,5,8997
D02_SERC_R1_P1_v1,10,3191
D02_SERC_R1_P1_v1,15,2993
D02_SERC_R1_P1_v1,20,2465
D02_SERC_R1_P1_v1,25,2253
D02_SERC_R1_P1_v1,30,1944
D02_SERC_R1_P1_v1,35,1681
D02_SERC_R1_P1_v1,40,1389
D02_SERC_R1_P1_v1,45,1073
D02_SERC_R1_P1_v1,50,810
D02_SERC_R1_P1_v1,55,675
D02_SERC_R1_P1_v1,60,412
D02_SERC_R1_P1_v1,65,381
D02_SERC_R1_P1_v1,70,326
D02_SERC_R1_P1_v1,75,298
D02_SERC_R1_P1_v1,80,309
D02_SERC_R1_P1_v1,85,194
D02_SERC_R1_P1_v1,90,197
D02_SERC_R1_P1_v1,95,145
D02_SERC_R1_P1_v1,100,84
