site,imperv_class,imperv_freq
D03_DSNY_R1_P1_v1,5,8571
D03_DSNY_R1_P1_v1,10,2735
D03_DSNY_R1_P1_v1,15,2327
D03_DSNY_R1_P1_v1,20,2233
D03_DSNY_R1_P1_v1,25,1957
D03_DSNY_R1_P1_v1,30,1789
D03_DSNY_R1_P1_v1,35,1470
D03_DSNY_R1_P1_v1,40,1158
D03_DSNY_R1_P1_v1,45,1152
D03_DSNY_R1_P1_v1,50,1051
D03_DSNY_R1_P1_v1,55,855
D03_DSNY_R1_P1_v1,60,656
D03_DSNY_R1_P1_v1,65,571
D03_DSNY_R1_P1_v1,70,445
D03_DSNY_R1_P1_v1,75,274
D03_DSNY_R1_P1_v1,80,176
D03_DSNY_R1_P1_v1,85,150
D03_DSNY_R1_P1_v1,90,121
D03_DSNY_R1_P1_v1,95,102
D03_DSNY_R1_P1_v1,100,79
