site,imperv_class,imperv_freq
D03_JERC_R2_P1_v1,5,6756
D03_JERC_R2_P1_v1,10,3518
D03_JERC_R2_P1_v1,15,2508
D03_JERC_R2_P1_v1,20,1841
D03_JERC_R2_P1_v1,25,1382
D03_JERC_R2_P1_v1,30,783
D03_JERC_R2_P1_v1,35,433
D03_JERC_R2_P1_v1,40,246
D03_JERC_R2_P1_v1,45,158
D03_JERC_R2_P1_v1,50,117
D03_JERC_R2_P1_v1,55,94
D03_JERC_R2_P1_v1,60,62
D03_JERC_R2_P1_v1,65,34
D03_JERC_R2_P1_v1,70,38
D03_JERC_R2_P1_v1,75,13
D03_JERC_R2_P1_v1,80,2
D03_JERC_R2_P1_v1,85,4
D03_JERC_R2_P1_v1,90,5
D03_JERC_R2_P1_v1,95,0
D03_JERC_R2_P1_v1,100,3
