site,imperv_class,imperv_freq
D03_OSBS_C1_P1_v1,5,13137
D03_OSBS_C1_P1_v1,10,7323
D03_OSBS_C1_P1_v1,15,5339
D03_OSBS_C1_P1_v1,20,2635
D03_OSBS_C1_P1_v1,25,1151
D03_OSBS_C1_P1_v1,30,581
D03_OSBS_C1_P1_v1,35,313
D03_OSBS_C1_P1_v1,40,277
D03_OSBS_C1_P1_v1,45,252
D03_OSBS_C1_P1_v1,50,224
D03_OSBS_C1_P1_v1,55,143
D03_OSBS_C1_P1_v1,60,137
D03_OSBS_C1_P1_v1,65,74
D03_OSBS_C1_P1_v1,70,76
D03_OSBS_C1_P1_v1,75,45
D03_OSBS_C1_P1_v1,80,29
D03_OSBS_C1_P1_v1,85,41
D03_OSBS_C1_P1_v1,90,12
D03_OSBS_C1_P1_v1,95,8
D03_OSBS_C1_P1_v1,100,23
