site,imperv_class,imperv_freq
D04_GUAN_C1_P1_v1,5,460
D04_GUAN_C1_P1_v1,10,744
D04_GUAN_C1_P1_v1,15,934
D04_GUAN_C1_P1_v1,20,1098
D04_GUAN_C1_P1_v1,25,1264
D04_GUAN_C1_P1_v1,30,1108
D04_GUAN_C1_P1_v1,35,1106
D04_GUAN_C1_P1_v1,40,1105
D04_GUAN_C1_P1_v1,45,1009
D04_GUAN_C1_P1_v1,50,1058
D04_GUAN_C1_P1_v1,55,1055
D04_GUAN_C1_P1_v1,60,1047
D04_GUAN_C1_P1_v1,65,1011
D04_GUAN_C1_P1_v1,70,877
D04_GUAN_C1_P1_v1,75,528
D04_GUAN_C1_P1_v1,80,327
D04_GUAN_C1_P1_v1,85,233
D04_GUAN_C1_P1_v1,90,183
D04_GUAN_C1_P1_v1,95,101
D04_GUAN_C1_P1_v1,100,34
