site,imperv_class,imperv_freq
D04_GUIL_A2_P1_v1,5,24
D04_GUIL_A2_P1_v1,10,14
D04_GUIL_A2_P1_v1,15,8
D04_GUIL_A2_P1_v1,20,18
D04_GUIL_A2_P1_v1,25,56
D04_GUIL_A2_P1_v1,30,47
D04_GUIL_A2_P1_v1,35,36
D04_GUIL_A2_P1_v1,40,48
D04_GUIL_A2_P1_v1,45,12
D04_GUIL_A2_P1_v1,50,19
D04_GUIL_A2_P1_v1,55,17
D04_GUIL_A2_P1_v1,60,4
D04_GUIL_A2_P1_v1,65,6
D04_GUIL_A2_P1_v1,70,1
D04_GUIL_A2_P1_v1,75,0
D04_GUIL_A2_P1_v1,80,0
D04_GUIL_A2_P1_v1,85,0
D04_GUIL_A2_P1_v1,90,0
D04_GUIL_A2_P1_v1,95,0
D04_GUIL_A2_P1_v1,100,0
