site,imperv_class,imperv_freq
D05_STEI_TREE_R1_P1_v2,5,7111
D05_STEI_TREE_R1_P1_v2,10,2301
D05_STEI_TREE_R1_P1_v2,15,1530
D05_STEI_TREE_R1_P1_v2,20,1089
D05_STEI_TREE_R1_P1_v2,25,675
D05_STEI_TREE_R1_P1_v2,30,380
D05_STEI_TREE_R1_P1_v2,35,246
D05_STEI_TREE_R1_P1_v2,40,103
D05_STEI_TREE_R1_P1_v2,45,37
D05_STEI_TREE_R1_P1_v2,50,30
D05_STEI_TREE_R1_P1_v2,55,18
D05_STEI_TREE_R1_P1_v2,60,6
D05_STEI_TREE_R1_P1_v2,65,2
D05_STEI_TREE_R1_P1_v2,70,0
D05_STEI_TREE_R1_P1_v2,75,0
D05_STEI_TREE_R1_P1_v2,80,0
D05_STEI_TREE_R1_P1_v2,85,0
D05_STEI_TREE_R1_P1_v2,90,0
D05_STEI_TREE_R1_P1_v2,95,0
D05_STEI_TREE_R1_P1_v2,100,0
