site,imperv_class,imperv_freq
D05_UNDE_C1_P1_v1,5,14376
D05_UNDE_C1_P1_v1,10,1154
D05_UNDE_C1_P1_v1,15,305
D05_UNDE_C1_P1_v1,20,210
D05_UNDE_C1_P1_v1,25,58
D05_UNDE_C1_P1_v1,30,41
D05_UNDE_C1_P1_v1,35,20
D05_UNDE_C1_P1_v1,40,14
D05_UNDE_C1_P1_v1,45,4
D05_UNDE_C1_P1_v1,50,13
D05_UNDE_C1_P1_v1,55,2
D05_UNDE_C1_P1_v1,60,0
D05_UNDE_C1_P1_v1,65,0
D05_UNDE_C1_P1_v1,70,0
D05_UNDE_C1_P1_v1,75,1
D05_UNDE_C1_P1_v1,80,5
D05_UNDE_C1_P1_v1,85,2
D05_UNDE_C1_P1_v1,90,0
D05_UNDE_C1_P1_v1,95,0
D05_UNDE_C1_P1_v1,100,0
