site,imperv_class,imperv_freq
D06_KONZ_KONA_C1_P1_v2,5,2489
D06_KONZ_KONA_C1_P1_v2,10,1387
D06_KONZ_KONA_C1_P1_v2,15,1333
D06_KONZ_KONA_C1_P1_v2,20,1485
D06_KONZ_KONA_C1_P1_v2,25,1674
D06_KONZ_KONA_C1_P1_v2,30,1815
D06_KONZ_KONA_C1_P1_v2,35,1653
D06_KONZ_KONA_C1_P1_v2,40,1564
D06_KONZ_KONA_C1_P1_v2,45,1432
D06_KONZ_KONA_C1_P1_v2,50,1127
D06_KONZ_KONA_C1_P1_v2,55,854
D06_KONZ_KONA_C1_P1_v2,60,707
D06_KONZ_KONA_C1_P1_v2,65,712
D06_KONZ_KONA_C1_P1_v2,70,790
D06_KONZ_KONA_C1_P1_v2,75,779
D06_KONZ_KONA_C1_P1_v2,80,578
D06_KONZ_KONA_C1_P1_v2,85,344
D06_KONZ_KONA_C1_P1_v2,90,256
D06_KONZ_KONA_C1_P1_v2,95,268
D06_KONZ_KONA_C1_P1_v2,100,169
