site,imperv_class,imperv_freq
D06_MCDI_C1_P2_v1,5,765
D06_MCDI_C1_P2_v1,10,412
D06_MCDI_C1_P2_v1,15,339
D06_MCDI_C1_P2_v1,20,284
D06_MCDI_C1_P2_v1,25,159
D06_MCDI_C1_P2_v1,30,62
D06_MCDI_C1_P2_v1,35,19
D06_MCDI_C1_P2_v1,40,9
D06_MCDI_C1_P2_v1,45,3
D06_MCDI_C1_P2_v1,50,1
D06_MCDI_C1_P2_v1,55,0
D06_MCDI_C1_P2_v1,60,0
D06_MCDI_C1_P2_v1,65,0
D06_MCDI_C1_P2_v1,70,0
D06_MCDI_C1_P2_v1,75,0
D06_MCDI_C1_P2_v1,80,0
D06_MCDI_C1_P2_v1,85,0
D06_MCDI_C1_P2_v1,90,0
D06_MCDI_C1_P2_v1,95,0
D06_MCDI_C1_P2_v1,100,0
