site,imperv_class,imperv_freq
D06_UKFS_R1_P1_v2,5,4423
D06_UKFS_R1_P1_v2,10,2615
D06_UKFS_R1_P1_v2,15,2238
D06_UKFS_R1_P1_v2,20,2276
D06_UKFS_R1_P1_v2,25,2288
D06_UKFS_R1_P1_v2,30,1895
D06_UKFS_R1_P1_v2,35,1584
D06_UKFS_R1_P1_v2,40,1384
D06_UKFS_R1_P1_v2,45,1103
D06_UKFS_R1_P1_v2,50,1034
D06_UKFS_R1_P1_v2,55,898
D06_UKFS_R1_P1_v2,60,829
D06_UKFS_R1_P1_v2,65,776
D06_UKFS_R1_P1_v2,70,718
D06_UKFS_R1_P1_v2,75,589
D06_UKFS_R1_P1_v2,80,582
D06_UKFS_R1_P1_v2,85,472
D06_UKFS_R1_P1_v2,90,447
D06_UKFS_R1_P1_v2,95,269
D06_UKFS_R1_P1_v2,100,112
