site,imperv_class,imperv_freq
D07_GRSM_R1_P1_all_v1,5,7805
D07_GRSM_R1_P1_all_v1,10,919
D07_GRSM_R1_P1_all_v1,15,400
D07_GRSM_R1_P1_all_v1,20,293
D07_GRSM_R1_P1_all_v1,25,273
D07_GRSM_R1_P1_all_v1,30,155
D07_GRSM_R1_P1_all_v1,35,167
D07_GRSM_R1_P1_all_v1,40,124
D07_GRSM_R1_P1_all_v1,45,133
D07_GRSM_R1_P1_all_v1,50,132
D07_GRSM_R1_P1_all_v1,55,174
D07_GRSM_R1_P1_all_v1,60,164
D07_GRSM_R1_P1_all_v1,65,151
D07_GRSM_R1_P1_all_v1,70,186
D07_GRSM_R1_P1_all_v1,75,237
D07_GRSM_R1_P1_all_v1,80,223
D07_GRSM_R1_P1_all_v1,85,208
D07_GRSM_R1_P1_all_v1,90,133
D07_GRSM_R1_P1_all_v1,95,112
D07_GRSM_R1_P1_all_v1,100,91
