site,imperv_class,imperv_freq
D07_MLBS_R1_P1_v5,5,4586
D07_MLBS_R1_P1_v5,10,422
D07_MLBS_R1_P1_v5,15,162
D07_MLBS_R1_P1_v5,20,102
D07_MLBS_R1_P1_v5,25,90
D07_MLBS_R1_P1_v5,30,51
D07_MLBS_R1_P1_v5,35,11
D07_MLBS_R1_P1_v5,40,15
D07_MLBS_R1_P1_v5,45,7
D07_MLBS_R1_P1_v5,50,13
D07_MLBS_R1_P1_v5,55,12
D07_MLBS_R1_P1_v5,60,6
D07_MLBS_R1_P1_v5,65,2
D07_MLBS_R1_P1_v5,70,4
D07_MLBS_R1_P1_v5,75,0
D07_MLBS_R1_P1_v5,80,0
D07_MLBS_R1_P1_v5,85,0
D07_MLBS_R1_P1_v5,90,0
D07_MLBS_R1_P1_v5,95,0
D07_MLBS_R1_P1_v5,100,0
