site,imperv_class,imperv_freq
D07_ORNL_C1_P1_v8,5,8210
D07_ORNL_C1_P1_v8,10,3485
D07_ORNL_C1_P1_v8,15,2445
D07_ORNL_C1_P1_v8,20,2412
D07_ORNL_C1_P1_v8,25,2527
D07_ORNL_C1_P1_v8,30,2549
D07_ORNL_C1_P1_v8,35,2433
D07_ORNL_C1_P1_v8,40,2236
D07_ORNL_C1_P1_v8,45,1936
D07_ORNL_C1_P1_v8,50,1680
D07_ORNL_C1_P1_v8,55,1484
D07_ORNL_C1_P1_v8,60,1344
D07_ORNL_C1_P1_v8,65,1331
D07_ORNL_C1_P1_v8,70,1406
D07_ORNL_C1_P1_v8,75,1204
D07_ORNL_C1_P1_v8,80,1317
D07_ORNL_C1_P1_v8,85,1301
D07_ORNL_C1_P1_v8,90,1676
D07_ORNL_C1_P1_v8,95,988
D07_ORNL_C1_P1_v8,100,250
