site,imperv_class,imperv_freq
D08_DELA_R1_P1_v1,5,2950
D08_DELA_R1_P1_v1,10,1446
D08_DELA_R1_P1_v1,15,1302
D08_DELA_R1_P1_v1,20,1113
D08_DELA_R1_P1_v1,25,1102
D08_DELA_R1_P1_v1,30,1036
D08_DELA_R1_P1_v1,35,1050
D08_DELA_R1_P1_v1,40,882
D08_DELA_R1_P1_v1,45,790
D08_DELA_R1_P1_v1,50,667
D08_DELA_R1_P1_v1,55,455
D08_DELA_R1_P1_v1,60,408
D08_DELA_R1_P1_v1,65,357
D08_DELA_R1_P1_v1,70,313
D08_DELA_R1_P1_v1,75,281
D08_DELA_R1_P1_v1,80,290
D08_DELA_R1_P1_v1,85,268
D08_DELA_R1_P1_v1,90,197
D08_DELA_R1_P1_v1,95,183
D08_DELA_R1_P1_v1,100,76
