site,imperv_class,imperv_freq
D08_LENO_R2_P1_v1,5,2033
D08_LENO_R2_P1_v1,10,300
D08_LENO_R2_P1_v1,15,134
D08_LENO_R2_P1_v1,20,87
D08_LENO_R2_P1_v1,25,30
D08_LENO_R2_P1_v1,30,13
D08_LENO_R2_P1_v1,35,23
D08_LENO_R2_P1_v1,40,9
D08_LENO_R2_P1_v1,45,3
D08_LENO_R2_P1_v1,50,3
D08_LENO_R2_P1_v1,55,1
D08_LENO_R2_P1_v1,60,0
D08_LENO_R2_P1_v1,65,0
D08_LENO_R2_P1_v1,70,0
D08_LENO_R2_P1_v1,75,0
D08_LENO_R2_P1_v1,80,0
D08_LENO_R2_P1_v1,85,0
D08_LENO_R2_P1_v1,90,0
D08_LENO_R2_P1_v1,95,0
D08_LENO_R2_P1_v1,100,0
