site,imperv_class,imperv_freq
D08_TALL_C1_P1_v1,5,7161
D08_TALL_C1_P1_v1,10,477
D08_TALL_C1_P1_v1,15,137
D08_TALL_C1_P1_v1,20,47
D08_TALL_C1_P1_v1,25,20
D08_TALL_C1_P1_v1,30,14
D08_TALL_C1_P1_v1,35,4
D08_TALL_C1_P1_v1,40,3
D08_TALL_C1_P1_v1,45,4
D08_TALL_C1_P1_v1,50,1
D08_TALL_C1_P1_v1,55,0
D08_TALL_C1_P1_v1,60,0
D08_TALL_C1_P1_v1,65,1
D08_TALL_C1_P1_v1,70,0
D08_TALL_C1_P1_v1,75,0
D08_TALL_C1_P1_v1,80,0
D08_TALL_C1_P1_v1,85,0
D08_TALL_C1_P1_v1,90,0
D08_TALL_C1_P1_v1,95,0
D08_TALL_C1_P1_v1,100,0
