site,imperv_class,imperv_freq
D09_NOGP_R2_P1_v1,5,7836
D09_NOGP_R2_P1_v1,10,2626
D09_NOGP_R2_P1_v1,15,1972
D09_NOGP_R2_P1_v1,20,1823
D09_NOGP_R2_P1_v1,25,1701
D09_NOGP_R2_P1_v1,30,1742
D09_NOGP_R2_P1_v1,35,1802
D09_NOGP_R2_P1_v1,40,1478
D09_NOGP_R2_P1_v1,45,1620
D09_NOGP_R2_P1_v1,50,1581
D09_NOGP_R2_P1_v1,55,1441
D09_NOGP_R2_P1_v1,60,1172
D09_NOGP_R2_P1_v1,65,1114
D09_NOGP_R2_P1_v1,70,965
D09_NOGP_R2_P1_v1,75,758
D09_NOGP_R2_P1_v1,80,638
D09_NOGP_R2_P1_v1,85,604
D09_NOGP_R2_P1_v1,90,481
D09_NOGP_R2_P1_v1,95,303
D09_NOGP_R2_P1_v1,100,207
