site,imperv_class,imperv_freq
D09_WOOD_DCFS_C1_P1_v2,5,5282
D09_WOOD_DCFS_C1_P1_v2,10,4006
D09_WOOD_DCFS_C1_P1_v2,15,2506
D09_WOOD_DCFS_C1_P1_v2,20,1150
D09_WOOD_DCFS_C1_P1_v2,25,545
D09_WOOD_DCFS_C1_P1_v2,30,448
D09_WOOD_DCFS_C1_P1_v2,35,300
D09_WOOD_DCFS_C1_P1_v2,40,98
D09_WOOD_DCFS_C1_P1_v2,45,48
D09_WOOD_DCFS_C1_P1_v2,50,16
D09_WOOD_DCFS_C1_P1_v2,55,25
D09_WOOD_DCFS_C1_P1_v2,60,15
D09_WOOD_DCFS_C1_P1_v2,65,4
D09_WOOD_DCFS_C1_P1_v2,70,9
D09_WOOD_DCFS_C1_P1_v2,75,10
D09_WOOD_DCFS_C1_P1_v2,80,5
D09_WOOD_DCFS_C1_P1_v2,85,5
D09_WOOD_DCFS_C1_P1_v2,90,0
D09_WOOD_DCFS_C1_P1_v2,95,0
D09_WOOD_DCFS_C1_P1_v2,100,0
