site,imperv_class,imperv_freq
D10_RMNP_R2_P1_v1,5,4937
D10_RMNP_R2_P1_v1,10,766
D10_RMNP_R2_P1_v1,15,361
D10_RMNP_R2_P1_v1,20,362
D10_RMNP_R2_P1_v1,25,299
D10_RMNP_R2_P1_v1,30,231
D10_RMNP_R2_P1_v1,35,233
D10_RMNP_R2_P1_v1,40,182
D10_RMNP_R2_P1_v1,45,131
D10_RMNP_R2_P1_v1,50,106
D10_RMNP_R2_P1_v1,55,63
D10_RMNP_R2_P1_v1,60,54
D10_RMNP_R2_P1_v1,65,35
D10_RMNP_R2_P1_v1,70,23
D10_RMNP_R2_P1_v1,75,17
D10_RMNP_R2_P1_v1,80,10
D10_RMNP_R2_P1_v1,85,0
D10_RMNP_R2_P1_v1,90,0
D10_RMNP_R2_P1_v1,95,0
D10_RMNP_R2_P1_v1,100,0
