site,imperv_class,imperv_freq
D11_BLUE_A2_P1_v1,5,15289
D11_BLUE_A2_P1_v1,10,4629
D11_BLUE_A2_P1_v1,15,2379
D11_BLUE_A2_P1_v1,20,1687
D11_BLUE_A2_P1_v1,25,1230
D11_BLUE_A2_P1_v1,30,933
D11_BLUE_A2_P1_v1,35,539
D11_BLUE_A2_P1_v1,40,407
D11_BLUE_A2_P1_v1,45,311
D11_BLUE_A2_P1_v1,50,265
D11_BLUE_A2_P1_v1,55,263
D11_BLUE_A2_P1_v1,60,213
D11_BLUE_A2_P1_v1,65,163
D11_BLUE_A2_P1_v1,70,159
D11_BLUE_A2_P1_v1,75,109
D11_BLUE_A2_P1_v1,80,120
D11_BLUE_A2_P1_v1,85,62
D11_BLUE_A2_P1_v1,90,25
D11_BLUE_A2_P1_v1,95,23
D11_BLUE_A2_P1_v1,100,6
