site,imperv_class,imperv_freq
D11_CLBJ_C1_P1_v2,5,5373
D11_CLBJ_C1_P1_v2,10,1624
D11_CLBJ_C1_P1_v2,15,1059
D11_CLBJ_C1_P1_v2,20,757
D11_CLBJ_C1_P1_v2,25,476
D11_CLBJ_C1_P1_v2,30,325
D11_CLBJ_C1_P1_v2,35,250
D11_CLBJ_C1_P1_v2,40,149
D11_CLBJ_C1_P1_v2,45,104
D11_CLBJ_C1_P1_v2,50,84
D11_CLBJ_C1_P1_v2,55,78
D11_CLBJ_C1_P1_v2,60,57
D11_CLBJ_C1_P1_v2,65,50
D11_CLBJ_C1_P1_v2,70,53
D11_CLBJ_C1_P1_v2,75,38
D11_CLBJ_C1_P1_v2,80,15
D11_CLBJ_C1_P1_v2,85,16
D11_CLBJ_C1_P1_v2,90,7
D11_CLBJ_C1_P1_v2,95,6
D11_CLBJ_C1_P1_v2,100,0
