site,imperv_class,imperv_freq
D11_OAES_R1_P1_v2,5,9906
D11_OAES_R1_P1_v2,10,623
D11_OAES_R1_P1_v2,15,447
D11_OAES_R1_P1_v2,20,363
D11_OAES_R1_P1_v2,25,341
D11_OAES_R1_P1_v2,30,356
D11_OAES_R1_P1_v2,35,310
D11_OAES_R1_P1_v2,40,320
D11_OAES_R1_P1_v2,45,203
D11_OAES_R1_P1_v2,50,144
D11_OAES_R1_P1_v2,55,114
D11_OAES_R1_P1_v2,60,83
D11_OAES_R1_P1_v2,65,86
D11_OAES_R1_P1_v2,70,75
D11_OAES_R1_P1_v2,75,101
D11_OAES_R1_P1_v2,80,104
D11_OAES_R1_P1_v2,85,138
D11_OAES_R1_P1_v2,90,55
D11_OAES_R1_P1_v2,95,37
D11_OAES_R1_P1_v2,100,11
