site,imperv_class,imperv_freq
D11_PRIN_C1_P2_v2,5,1841
D11_PRIN_C1_P2_v2,10,722
D11_PRIN_C1_P2_v2,15,479
D11_PRIN_C1_P2_v2,20,371
D11_PRIN_C1_P2_v2,25,304
D11_PRIN_C1_P2_v2,30,246
D11_PRIN_C1_P2_v2,35,171
D11_PRIN_C1_P2_v2,40,180
D11_PRIN_C1_P2_v2,45,110
D11_PRIN_C1_P2_v2,50,61
D11_PRIN_C1_P2_v2,55,26
D11_PRIN_C1_P2_v2,60,13
D11_PRIN_C1_P2_v2,65,3
D11_PRIN_C1_P2_v2,70,9
D11_PRIN_C1_P2_v2,75,11
D11_PRIN_C1_P2_v2,80,4
D11_PRIN_C1_P2_v2,85,14
D11_PRIN_C1_P2_v2,90,10
D11_PRIN_C1_P2_v2,95,4
D11_PRIN_C1_P2_v2,100,3
