site,imperv_class,imperv_freq
D12_YELL_C1_P1_v2,5,3337
D12_YELL_C1_P1_v2,10,227
D12_YELL_C1_P1_v2,15,118
D12_YELL_C1_P1_v2,20,42
D12_YELL_C1_P1_v2,25,27
D12_YELL_C1_P1_v2,30,11
D12_YELL_C1_P1_v2,35,11
D12_YELL_C1_P1_v2,40,8
D12_YELL_C1_P1_v2,45,6
D12_YELL_C1_P1_v2,50,4
D12_YELL_C1_P1_v2,55,0
D12_YELL_C1_P1_v2,60,5
D12_YELL_C1_P1_v2,65,0
D12_YELL_C1_P1_v2,70,0
D12_YELL_C1_P1_v2,75,0
D12_YELL_C1_P1_v2,80,0
D12_YELL_C1_P1_v2,85,0
D12_YELL_C1_P1_v2,90,0
D12_YELL_C1_P1_v2,95,0
D12_YELL_C1_P1_v2,100,0
